Authorization Number,Authorization Type,Company,Issue Date,Expiry Date,Waste Type,State,Primary BCENICID,Secondary BCENICID,CPIX,Risk Level,WDR Regulation,WDR Schedule One or Two,Regional Case Manager,Office,Administrative Area,Regional District,Region,Nearest Municipality,Facility Type - Description,Facility Address,Facility Operator,Facility Operator Phone,Facility Operator Email,Latitude,Longitude,Legal Land Description,Mailing Address
11660,Permit,654652 BC LTD DBA COUNTRY VIEW MOBILE HOME PARK ,2/15/1993,,Effluent,Cancelled,531300  Administration - Private,562220  Sewage Treatment,L,,Schedule 1,Municipal Sewage Management,"Waters, Neale",Kamloops,Southern Interior,Thompson-Nicola,Authorizations - South Region,Kamloops,septic tanks and and tile field  ,CAMPBELL CREEK,Ron Burt,() -,,50.664,120.043,CAMPBELL CREEK,"435 48 Avenue W, Vancouver  BC  V5Y 2Z3"
11669,Permit,A & A TRADING (HAIDA GWAII) LTD. ,3/17/1993,,Air,Active,113311  Forest Sector - Logging,562230  Solid Waste Management,M,,Schedule 1,Burning or Incineration of Waste,"Moores, Karen",Smithers,Northern,North Coast ,Authorizations - North Region,Queen Charlotte City,Dryland Logsort  Dryland Logsort,"South Bay Morseby Island: Queen Charlotte Land District, SUP 24073 Southbay Dryland Sort",A & A Trading (Haida Gwaii) Ltd.,(604) 695-5111,pmiller@aatrading.com,53.160551,132.050262,"South Bay Moresby Island: Queen Charlotte Land District, SUP 24073 Southbay Dryland Sort","1210-1111 Melville Street, Vancouver BC  V6E 3V6"
11669,Permit,A & A TRADING (HAIDA GWAII) LTD. ,3/17/1993,,Refuse,Active,113311  Forest Sector - Logging,562230  Solid Waste Management,M,,Schedule 1,Burning or Incineration of Waste,"Moores, Karen",Smithers,Northern,North Coast ,Authorizations - North Region,Queen Charlotte City,Dryland Logsort  Dryland Logsort,"South Bay Morseby Island: Queen Charlotte Land District, SUP 24073 Southbay Dryland Sort",A & A Trading (Haida Gwaii) Ltd.,(604) 695-5111,pmiller@aatrading.com,53.160551,132.050262,"South Bay Moresby Island: Queen Charlotte Land District, SUP 24073 Southbay Dryland Sort","1210-1111 Melville Street, Vancouver BC  V6E 3V6"
11672,Permit,BOARDS BY GEORGE LUMBER INC. ,7/6/1994,,Air,Active,321100  Forest Sector - Sawmills,  ,L,,Schedule 2,Wood Processing Industry - Secondary,"D`Souza, Roshan",Nelson,Southern Interior,,Authorizations - South Region,Nelson,n/a  ,MEADOW CREEK,Unknown,() -,,50.2517,116.9611,"District Lot 9373, Plan 4920, Kootenay District","209 LARDEAU RIVER RD PO BOX 132 MEADOW CREEK, BC V0G 1N0"
11672,Permit,BOARDS BY GEORGE LUMBER INC. ,7/6/1994,,Refuse,Active,321100  Forest Sector - Sawmills,  ,L,,Schedule 2,Wood Processing Industry - Secondary,"D`Souza, Roshan",Nelson,Southern Interior,,Authorizations - South Region,Nelson,n/a  ,MEADOW CREEK,Unknown,() -,,50.2517,116.9611,"District Lot 9373, Plan 4920, Kootenay District","209 LARDEAU RIVER RD PO BOX 132 MEADOW CREEK, BC V0G 1N0"
11678,Permit,MOUNT POLLEY MINING CORPORATION ,5/30/1997,,Effluent,Active,212200  Mining - Metal,  ,H,,Schedule 1,Mining and Coal Mining Industry,"Gibson, Alan",Williams Lake,Mining Operations,Cariboo,Authorizations - North Region,Williams Lake,Copper/Gold Mine and Mill  Copper/Gold Mine and Mill,"5720 Morehead Btjck FSR, Mount Polley  , Likely BC  V0L 1N0","Don Parsons, Acting General Manager",(604) 488-2652,don.parsons@imperialmetals.com,52.54502,121.632691,,"P.O. BOX 12 LIKELY, BC V0L 1N0"
11686,Permit,1068350 B.C. LTD. ,5/4/1995,,Refuse,Active,113311  Forest Sector - Logging,562230  Solid Waste Management,M,,Schedule 2,Wood Processing Industry - Primary,"Kootnikoff, Milen",Surrey,Southern Interior,qathet,Authorizations - South Region,Egmont,Dry Land Log Sorting Operation  ,"Lot 4426, St. Vincent Bay BC, Hotham Sound",Not provided,(999) 999-9999,not provided,49.822,124.0984,"District Lot 4426, Group 1, New Westminister District","343A Bay Street, Victoria BC  V8T 1P5"
11687,Permit,REGIONAL DISTRICT OF CENTRAL OKANAGAN ,3/31/1993,,Effluent,Abandoned,"913000  Administration - Local, Municipal, Regional",562220  Sewage Treatment,L,,Schedule 1,Municipal Sewage Management,"White, Kirsten",Penticton,Southern Interior,,Authorizations - South Region,Kelowna,n/a  ,WINFIELD,Unknown,() -,,49.9985,119.3672,WINFIELD,"1450 KLO ROAD KELOWNA, BC V1W 3Z4"
11688,Permit,HAMILL CREEK TIMBER HOMES INC. ,3/8/1993,,Air,Active,321100  Forest Sector - Sawmills,  ,L,,Schedule 2,Wood Processing Industry - Secondary,"D`Souza, Roshan",Nelson,Southern Interior,,Authorizations - South Region,Meadow Creek,sawmill  sawmill,"PO Box 151, 13440 Hwy 31, Meadow Creek BC  V0G 1N0",Norbert Conrad,(250) 366-4320,,50.2469,116.9619,"Lot 1, Plan 6542, District Lot 9037, Kootenay District","PO BOX 151, Meadow Creek BC  V0G 1N0"
11688,Permit,HAMILL CREEK TIMBER HOMES INC. ,3/8/1993,,Refuse,Active,321100  Forest Sector - Sawmills,  ,L,,Schedule 2,Wood Processing Industry - Secondary,"D`Souza, Roshan",Nelson,Southern Interior,,Authorizations - South Region,Meadow Creek,sawmill  sawmill,"PO Box 151, 13440 Hwy 31, Meadow Creek BC  V0G 1N0",Norbert Conrad,(250) 366-4320,,50.2469,116.9619,"Lot 1, Plan 6542, District Lot 9037, Kootenay District","PO BOX 151, Meadow Creek BC  V0G 1N0"
11692,Hazardous Waste Regulation,"SCHOOL DISTRICT NO. 70, PORT ALBERNI ",,,,Active,562210  Waste Treatment - Commercial Treatment & Disposal,  ,L,,Schedule 1,Hazardous Waste Management,"Leu, George",Nanaimo,Southern Interior,,Authorizations - South Region,Nanaimo,  ,"SCH. MAINTENANCE YARD, 4930 MAEBELLE RD., P. ALB.",Unknown,,,49.26258,124.768759,"SCH. MAINTENANCE YARD, 4930 MAEBELLE RD., P. ALB.","4690 ROGER ST PORT ALBERNI, BC V9Y 3Z4"
11702,Permit,Michael Delaine and Lorraine Ann Giesler - DBA KOOTENAY RIVER KAMPGROUND KOOTENAY RIVER KAMPGROUND,6/3/1993,,Effluent,Active,531300  Administration - Private,562220  Sewage Treatment,L,,Schedule 1,Municipal Sewage Management,"D`Souza, Roshan",Nelson,Southern Interior,Central Kootenay ,Authorizations - South Region,Castlegar,n/a  ,"651 Rosedale Road, Castlegar BC  V1N 4L2",Michael Giesler,(250) 608-1414,info@kootenayriverrv.ca,49.31416,117.6355,"BL: 18 PL: 2949, DL:4598 Except Plan 6282 & NEP79409, Manufactured Home Reg #78206","651 Rosedale Road, Castlegar BC  V1N 4L2"
11706,Permit,NORBORD INC. ,5/14/1993,,Air,Active,321900  Forest Sector - Other Wood Manufacturing,  ,M,,Schedule 2,Wood Processing Industry - Primary,"Bings, Daniel",Williams Lake,Northern,Cariboo,Authorizations - North Region,100 Mile House,Oriented Strand Board manufacturing plant  Oriented Strand Board (OSB) manufacturing plant,995 A Exeter Station Rd,Rick Takagi,(250) 395-6286,rick.takagi@norbord.com,51.653641,121.33179,"Lot 1 District Lots 266, 2145, 4183 and 8691 Lillooet District Plan KAP47915","Box 67, 100 Mile House BC V0K 2J0"
11710,Permit,HUSBY FOREST PRODUCTS LTD. ,3/15/1993,,Effluent,Cancelled,113311  Forest Sector - Logging,562220  Sewage Treatment,L,,Schedule 2,Wood Processing Industry - Primary,"Vroom, Bryan",Nanaimo,Southern Interior,,Authorizations - South Region,Smithers,logging camp  100 person logging camp," Eden Lake, Queen Charlotte Islands, British Columbia.",Unknown,() -,,53.868622,132.727874,EDEN LAKE,"6425 RIVER RD DELTA, BC V4K 5B9"
11720,Permit,NARAMATA BENCHLAND PROPERTIES LTD. ,11/25/1993,5/31/2017,Effluent,Expired,531300  Administration - Private,562220  Sewage Treatment,L,,Schedule 1,Municipal Sewage Management,"Hamelin, Trevor",Penticton,Southern Interior,,Authorizations - South Region,Penticton,"storage reservoir for beneficial use as irrigation water  a sewage collection system, two cell aerated lagoon, storage reservoir, chlorination facility, spray irrigation facilities","Sublot 14, Plan 1190, District Lot, 2711, S.D.Y.D.",Unknown,() -,,49.5808,119.5176,"Sublot 14, Plan 1190, District Lot, 2711, S.D.Y.D.","1050 Eckhardt Avenue W, Penticton BC  V2A 2C3"
11731,Petroleum Storage and Distribution Facilities Storm Water Regulation,NORTHERN THUNDERBIRD AIR LTD. ,10/30/1992,,,Cancelled,412110  Storage - Fuel,  ,L,,N/A,,"Barkowsky, Lisa",,Northern,,Authorizations - North Region,Mackenzie,  ,unknown,unknown,,,,,unknown,
11745,Permit,NEWALTA CORPORATION ,2/24/1993,,,Cancelled,562210  Waste Treatment - Commercial Treatment & Disposal,412110  Storage - Fuel,L,,N/A,,"Lipsett, Kandis",Prince George,Northern,,Authorizations - North Region,Prince George,n/a  ,"LOT 1, DISTRICT 751, CARIBOO DIST. PLAN 20996",Unknown,() -,,60,140,"LOT 1, DISTRICT 751, CARIBOO DIST. PLAN 20996","7720 ANVIL WAY SURREY, BC V3W 4H7"
11758,Permit,"PRINCETON, TOWN OF ",10/21/1993,,Effluent,Active,"913000  Administration - Local, Municipal, Regional",562220  Sewage Treatment,L,,Schedule 1,Municipal Sewage Management,"Beckett, Matthew",Penticton,Southern Interior,,Authorizations - South Region,Princeton,n/a  residential subdivision ,"""Westridge"" subdivision, located near Princeton, British Columbia.",Michael Mazurek,(250) 295-8501,mmazurek@princeton.ca,49.4593,120.5061,"District Lot 277, Y.D.Y.D., except Plan DD 3050, B 3022, B3627, B4375, B4398, 12451, KAP47787.","151 Vermillion Avenue, Princeton BC  V0X 1W0"
11768,Permit,ELSWORTH BROS. LOGGING LTD. ,8/26/1993,,Refuse,Active,113311  Forest Sector - Logging,562230  Solid Waste Management,L,,Schedule 1,Municipal Solid Waste Management,"Lawrie, Peter",Smithers,Northern,,Authorizations - North Region,Smithers,Logging camp  discharge of municipal and industrial refuse from camp,MEZIADAN JUNCTION,Unknown,() -,,56.009758,129.09809,MEZIADAN JUNCTION,"140 - 13988 Maycrest Way, Richmond BC V6V 3C3"
11784,Asphalt Plant Regulation,KOOTENAY PAVING LTD. ,3/1/1998,,Air,Cancelled,324120  Asphalt Manufacturing (no batch plants),  ,L,,N/A,,"Novosad, Veron",Cranbrook,Southern Interior,,Authorizations - South Region,Nelson,  ,INVERMERE,Unknown,,,60,140,INVERMERE,"BOX 2700 INVERMERE, BC V0A 1K0"
11802,Hazardous Waste Regulation,HI-RISE SALVAGE LTD. ,,,,Active,562210  Waste Treatment - Commercial Treatment & Disposal,  ,L,,Schedule 1,Hazardous Waste Management,"Leu, George",Nanaimo,Southern Interior,,Authorizations - South Region,Nanaimo,  ,"VEYANESS ROAD, SAANICHTON",Unknown,,,48.566503,123.410029,"VEYANESS ROAD, SAANICHTON","#3-6785 VENANESS RD SAANICHTON, BC V0S 1M0"
11803,Permit,568157 B.C. LTD. HUU-AY-AHT FIRST NATION FORESTRY LIMITED PARTNERSHIP,9/2/1993,,Air,Active,113311  Forest Sector - Logging,562230  Solid Waste Management,L,,Schedule 2,Wood Processing Industry - Primary,"Pearce, Katherine",Nanaimo,Southern Interior,,Authorizations - South Region,Nanaimo,burning and waste permit  Wood Waste Disposal,"Huu-ay-aht First Nation, PO BOX 70, Bamfield BC  V0R 1B0",Unknown,() -,,48.9725,124.898,"within T.L. 11770, T.F.L. 44, Block 2, Barclay Land District","2533 Port Alberni Highway, Port Alberni, BC, V9Y 8P2"
11803,Permit,568157 B.C. LTD. HUU-AY-AHT FIRST NATION FORESTRY LIMITED PARTNERSHIP,9/2/1993,,Refuse,Active,113311  Forest Sector - Logging,562230  Solid Waste Management,L,,Schedule 2,Wood Processing Industry - Primary,"Pearce, Katherine",Nanaimo,Southern Interior,,Authorizations - South Region,Nanaimo,burning and waste permit  Wood Waste Disposal,"Huu-ay-aht First Nation, PO BOX 70, Bamfield BC  V0R 1B0",Unknown,() -,,48.9725,124.898,"within T.L. 11770, T.F.L. 44, Block 2, Barclay Land District","2533 Port Alberni Highway, Port Alberni, BC, V9Y 8P2"
11812,Permit,ROWILS ESTATES LTD. ,11/22/1993,,Effluent,Cancelled,531300  Administration - Private,412110  Storage - Fuel,L,,N/A,,"White, Kirsten",Nanaimo,Southern Interior,Cowichan Valley ,Authorizations - South Region,Nanaimo,75SFH development  ,COBBLE HILL,Unknown,() -,,48.6878,123.5961,COBBLE HILL,"C/O ELISE HOLDINGS LTD 4098 LOCHSIDE DRIVE VICTORIA, BC V8X 2C8"
11814,Hazardous Waste Regulation,AFTON OPERATING CORPORATION ,,,,Cancelled,562210  Waste Treatment - Commercial Treatment & Disposal,  ,L,,Schedule 1,Hazardous Waste Management,"Lachance, Luc",Kamloops,Mining Operations,,Authorizations - South Region,Kamloops,  ,KAMLOOPS,Unknown,,,50.661942,120.499779,KAMLOOPS,"4000 TRANSCANADA HIGHWAY KAMLOOPS, BC V1S 2A9"
11817,Permit,427123 B.C. LTD. DBA EGGERS FOREST PRODUCTS ,4/8/1993,,Air,Active,321100  Forest Sector - Sawmills,  ,L,,Schedule 2,Wood Processing Industry - Primary,"D`Souza, Roshan",Nelson,Southern Interior,,Authorizations - South Region,Nelson,Sawmill  Open Burn,Near Nelson BC,Unknown,() -,,49.3305,117.2435,"Parcel A District Lot 1238, Plan X55, Kootenay District","609 DELBRUCK STREET NELSON, BC V1L 5L8"
11817,Permit,427123 B.C. LTD. DBA EGGERS FOREST PRODUCTS ,4/8/1993,,Refuse,Active,321100  Forest Sector - Sawmills,  ,L,,Schedule 2,Wood Processing Industry - Primary,"D`Souza, Roshan",Nelson,Southern Interior,,Authorizations - South Region,Nelson,Sawmill  Open Burn,Near Nelson BC,Unknown,() -,,49.3305,117.2435,"Parcel A District Lot 1238, Plan X55, Kootenay District","609 DELBRUCK STREET NELSON, BC V1L 5L8"
11832,Permit,SQUAMISH MILLS LTD. ,9/13/1993,,Air,Active,113311  Forest Sector - Logging,562230  Solid Waste Management,L,,Schedule 1,Burning or Incineration of Wood Residue,"Phillips, Lloyd",Surrey,Southern Interior,Squamish-Lillooet,Authorizations - South Region,Squamish,Log Handling Facility  ,SQUAMISH,Unknown,() -,,49.6862,123.1551,SQUAMISH,"Box 390, Squamish, B.C., V8B 0A3, "
11844,Permit,SPIDER LAKE SPRINGS HOLDINGS INC. ,7/27/1993,,Effluent,Active,531300  Administration - Private,562220  Sewage Treatment,L,,Schedule 1,Municipal Sewage Management,"White, Kirsten",Nanaimo,Southern Interior,,Authorizations - South Region,Nanaimo,Recreational Vehicle Park  ,QUALICUM BEACH,Ken Wilson,(250) 757-8181,,49.3444,124.61,QUALICUM BEACH,"#2 2650 TURNBULL ROAD QUALICUM BEACH, BC V9K 2R2"
11845,Permit,THE CHATTAHOOCHIE LODGE INC. ,7/20/1993,,Effluent,Active,531300  Administration - Private,562220  Sewage Treatment,L,,Schedule 1,Municipal Sewage Management,"Berube, Conrad",Nanaimo,Southern Interior,,Authorizations - South Region,Nanaimo,Fishing Lodge and Residence  Resort,Kildonan BC,Unknown,() -,,49.006522,125.012485,UCHUCKLESIT INLET,"3290 Third Avenue, Port Alberni BC  V9Y 4E1"
11847,Permit,TIMBERWEST FOREST CORP. ,7/15/1993,,Air,Abandoned,113311  Forest Sector - Logging,562230  Solid Waste Management,L,,N/A,,"Leu, George",Nanaimo,Southern Interior,,Authorizations - South Region,Nanaimo,n/a  ,"ARTLISH RIVER, TAHSIS INLET",Unknown,() -,,50.0618,127.052,"ARTLISH RIVER, TAHSIS INLET","C/O TFL FOREST LTD. 3 - 4890 RUTHERFORD ROAD NANAIMO, BC V9T 4Z4"
11847,Permit,TIMBERWEST FOREST CORP. ,7/15/1993,,Refuse,Abandoned,113311  Forest Sector - Logging,562230  Solid Waste Management,L,,N/A,,"Leu, George",Nanaimo,Southern Interior,,Authorizations - South Region,Nanaimo,n/a  ,"ARTLISH RIVER, TAHSIS INLET",Unknown,() -,,50.0618,127.052,"ARTLISH RIVER, TAHSIS INLET","C/O TFL FOREST LTD. 3 - 4890 RUTHERFORD ROAD NANAIMO, BC V9T 4Z4"
11863,Permit,DOMINION PRECAST LTD ,3/9/1994,,Refuse,Cancelled,327300  Manufacturing - Cement & Concrete,  ,L,,Schedule 2,Concrete and Concrete Products IndustryCode of Practice for the Concrete and Concrete Products Industry,"Downie, A.J.",Penticton,Southern Interior,Central Okanagan ,Authorizations - South Region,Kelowna,N/A  ,"PO BOX 819, Kelowna BC  V1Y 7P5",Hans Giesen,(250) 769-4774,info@dominionprecast.com,49.868,119.5812,"Lot D  Plan 28075, District Lot 2683, ODYD","2386 DOMNION RD KELOWNA, BC V1Z 2W8"
11874,Permit,MILL & TIMBER PRODUCTS LTD. ,2/18/1994,,Effluent,Active,113311  Forest Sector - Logging,562230  Solid Waste Management,L,,Schedule 2,Wood Processing Industry - Primary,"Berube, Conrad",Nanaimo,Southern Interior,Mount Waddington ,Authorizations - South Region,Port McNeill,Logging Camp  ,"Seymour Inlet near Woods Lagoon, BC",Unknown,() -,,51.014694,127.292408,SEYMOUR INLET,"BOX 106 PORT HARDY, BC V0N 2P0"
11875,Permit,KELOWNA READY MIX INC ,1/24/1994,,Refuse,Active,327300  Manufacturing - Cement & Concrete,  ,L,,Schedule 2,Concrete and Concrete Products IndustryCode of Practice for the Concrete and Concrete Products Industry,"Downie, A.J.",Penticton,Southern Interior,,Authorizations - South Region,West Kelowna,ready mix concrete plant  washwater reclamation pond,"1580 B Stevens Road, Westbank BC  V1Y 1Z5",Stuart Neufeld,(250) 258-9405,,49.8664,119.5805,"Lots 1 and 2, Plan 26842, District Lot 2683, O.D.Y.D.","1131 ELLIS ST KELOWNA, BC V1Y 1Z5"
11883,Hazardous Waste Regulation,SIMON FRASER UNIVERSITY ,7/8/2004,,,Active,562210  Waste Treatment - Commercial Treatment & Disposal,  ,L,,Schedule 1,Hazardous Waste Management,"Enick, Oana",Surrey,Southern Interior,Metro Vancouver,Authorizations - South Region,Burnaby,  ,"BURNABY CAMPUS, SIMON FRASER UNIVERSITY",Unknown,,,49.278991,122.919395,"BURNABY CAMPUS, SIMON FRASER UNIVERSITY","ATTN: ACCOUNTS PAYABLE BURNABY, BC V5A 1S6"
11894,Permit,COLDSTREAM COLLISION ,7/9/1993,,Air,Cancelled,488400  Transportation - Support Activities,  ,L,,N/A,,"Phillips, Lloyd",Surrey,Southern Interior,Fraser Valley ,Authorizations - South Region,Chilliwack,auto body spray booth  ,"CHILLIWACK, 8375A NOBLE ROAD",Unknown,() -,,49.15427,121.96037,"CHILLIWACK, 8375A NOBLE ROAD","8375A NOBLE RD CHILLIWACK, BC V2P 7X7"
11896,Permit,AGATE BAY RESORTS LTD. ,4/26/1993,,Effluent,Active,531300  Administration - Private,562220  Sewage Treatment,L,,Schedule 1,Municipal Sewage Management,"Bruce, Erin",Kamloops,Southern Interior,Columbia Shuswap ,Authorizations - South Region,Kamloops,Sewage System  Septic tank system,"2020 Sinmax Creek Place, Louis Creek BC  V0E 2E0",Unknown,() -,,51.076,119.7903,"Legal Subdivision 5, Section 29, Township 24, Range 13, Kamloops Division Yale District, West of the Sixth Meridian","45 Oswego Street, Victoria BC  V8V 2A7"
11897,Permit,AVORADO RESORT LTD. ,11/24/1993,,Effluent,Active,531300  Administration - Private,562220  Sewage Treatment,L,,Schedule 1,Municipal Sewage Management,"White, Kirsten",Nanaimo,Southern Interior,,Authorizations - South Region,Nanaimo,Resort Development  ,"AVORADO RESORT, ISLAND HWY., QUALICUM BEACH",Unknown,() -,,49.3969,124.63,"AVORADO RESORT, ISLAND HWY., QUALICUM BEACH","6050 W. ISLAND HWY QUALICUM BEACH, BC V9K 2E1"
11898,Permit,TECK METALS LTD. ,12/8/1995,,Refuse,Active,331410  Mining - Smelters,  ,L,,Schedule 1,"Metal Smelting, Iron and Steel Foundry and Metal Refining Industry","McCandlish, Brad",Nelson,Southern Interior,Kootenay Boundary,Authorizations - South Region,Trail,Slag Storage  Slag Storage,"25 Aldridge Avenue, Trail BC  V1R 4L8",Gary Gawryletz,(250) 364-4731,Garry.Gawryletz,49.114903,117.740803,"TRAIL, BC","Teck Metals Ltd., Trail Operations, Attn: Environmental Coordinator, PO Box 1000, Trail, BC  V1R 4L8"
11899,Permit,GABRIEL F. AND MARIA D. PIRES - DBA  ,8/31/1994,,Effluent,Active,531300  Administration - Private,562220  Sewage Treatment,L,,Schedule 1,Municipal Sewage Management,"White, Kirsten",Nanaimo,Southern Interior,,Authorizations - South Region,Nanaimo,Mobile Home and Recreationa Vehicle Park  ,"COOMBS, ALBERNI HIGHWAY",Unknown,() -,,49.3062,124.382,"COOMBS, ALBERNI HIGHWAY","PO BOX 283 COOMBS, BC V0R 1M0"
11905,Permit,SHUSWAP LAKE ESTATES LTD. ,1/13/1994,,Effluent,Active,531300  Administration - Private,562220  Sewage Treatment,L,Medium,Schedule 1,Municipal Sewage Management,"Vergamini, Don",Kamloops,Southern Interior,Thompson-Nicola,Authorizations - South Region,Kamloops,Aerated Lagoons and storage Lagoon  Sewage treatment facility,"2405 Centenial  Drive, Blind Bay BC  V0E 1H0",Terry Barker,(250) 675-2523,,50.862,119.358,BLIND BAY,"2405 CENTENNIAL DRIVE BOX 150 BLIND BAY, BC V0E 1H0"
11930,Hazardous Waste Regulation,7437 HOLDINGS LTD. ,,,,Cancelled,562210  Waste Treatment - Commercial Treatment & Disposal,  ,L,,N/A,,"Smith, Ashley",Surrey,Southern Interior,Metro Vancouver,Authorizations - South Region,Delta,  ,"9356 AND 9376 RIVER RD., DELTA, B. C.",Unknown,,,49.152359,122.96393,"9356 AND 9376 RIVER RD., DELTA, B. C.","9376 RIVER RD DELTA, BC A1A 1A1"
11933,Permit,SECHELT INDIAN GOVERNMENT DISTRICT ,6/27/1994,,Effluent,Active,914000  Administration - Aboriginal,562220  Sewage Treatment,L,,Schedule 1,Municipal Sewage Management,"Vroom, Bryan",Surrey,Southern Interior,Sunshine Coast,Authorizations - South Region,Sechelt,Community Sewer System  ,"SECHELT, SOUTH END OF FIELD ROAD",Peter Jmaeff    Cel 604-928-3400,(604) 885-1155,pjmaeff@secheltnation.net,49.427,123.7137,"Tsawcome Indian Reserve No. 1, New Westminster District (C.L.S.R.) Plan 57320 and Plan 56964","PO Box 740, 5545 Sunshine Coast Highway, Sechelt, BC  V0N 3A0"
11936,Permit,NEW AIYANSH VILLAGE GOVERNMENT ,9/13/1994,,,Active,914000  Administration - Aboriginal,412110  Storage - Fuel,L,Medium,Schedule 1,Municipal Solid Waste Management,"Pierce, Eric",Smithers,Northern,,Authorizations - North Region,New Aiyansh,landfill  landfill,NEW AIYANSH,New Aiyansh Village Government,() -,,55.2302,129.0495,NEW AIYANSH Cassiar District Lot 1714,"Attn: Darlene Morgan, PO BOX 233, New Aiyansh BC  V0J 1A0"
11940,Permit,INTERNATIONAL FOREST PRODUCTS LIMITED ,9/22/1993,,Effluent,Cancelled,113311  Forest Sector - Logging,562220  Sewage Treatment,L,,N/A,,"Berube, Conrad",Nanaimo,Southern Interior,,Authorizations - South Region,Nanaimo,logging camp  ,FROM BROUGHTON ISLAND TO FIFE SOUND,Unknown,() -,,50.78854,126.693671,FROM BROUGHTON ISLAND TO FIFE SOUND,"311, 1180 IRONWOOD ROAD CAMPBELL RIVER, BC V9W 5P7"
